"plasmid","strain","fold_change","type"
"5-HT4","Gα14",8.39688949789648,"4.8"
"5-HT4","Gα15/16",27.7483797706553,"4.8"
"5-HT4","Gαi1/2",41.8366065674927,"4.8"
"5-HT4","Gαi3",48.1542444115496,"4.8"
"5-HT4","Gαo",5.80737002403865,"4.8"
"5-HT4","Gαq/11",2.70681626243757,"4.8"
"5-HT4","Gαs/olf",1.81296912356618,"4.8"
"5-HT4","Gαz",63.8416243498285,"4.8"
"5-HT4","tGPA1",0.973799740537165,"4.8"
"5-HT5A","GPA1",0.950205678544232,"4.8"
"5-HT5A","Gα12",0.968722345939743,"4.8"
"5-HT5A","Gα13",0.990040048533803,"4.8"
"5-HT5A","Gα14",0.99401820228943,"4.8"
"5-HT5A","Gα15/16",0.992644471721166,"4.8"
"5-HT5A","Gαi1/2",0.998118751044013,"4.8"
"5-HT5A","Gαi3",0.997904650775867,"4.8"
"5-HT5A","Gαo",0.964447357599406,"4.8"
"5-HT5A","Gαq/11",1.00259716033197,"4.8"
"5-HT5A","Gαs/olf",1.01429742212668,"4.8"
"5-HT5A","Gαz",1.02761495502504,"4.8"
"5-HT5A","tGPA1",1.00895244201279,"4.8"
"5-HT6","GPA1",1.01100605766334,"4.8"
"5-HT6","Gα12",1.00411105442972,"4.8"
"5-HT6","Gα13",0.959488026115951,"4.8"
"5-HT6","Gα14",0.999607011271196,"4.8"
"5-HT6","Gα15/16",1.00016341849024,"4.8"
"5-HT6","Gαi1/2",0.984159005014868,"4.8"
"5-HT6","Gαi3",1.0113816443241,"4.8"
"5-HT6","Gαo",1.00338929871101,"4.8"
"5-HT6","Gαq/11",1.01088317682801,"4.8"
"5-HT6","Gαs/olf",0.999796746669953,"4.8"
"5-HT6","Gαz",0.978040517969178,"4.8"
"5-HT6","tGPA1",1.06653061256546,"4.8"
"5-HT7","GPA1",1.02479786925676,"4.8"
"5-HT7","Gα12",0.985554510638996,"4.8"
"5-HT7","Gα13",0.966129220730829,"4.8"
"5-HT7","Gα14",0.999141967206892,"4.8"
"5-HT7","Gα15/16",0.976548054222319,"4.8"
"5-HT7","Gαi1/2",0.983495627879305,"4.8"
"5-HT7","Gαi3",0.935358382535988,"4.8"
"5-HT7","Gαo",1.00554510826053,"4.8"
"5-HT7","Gαq/11",1.01644344021829,"4.8"
"5-HT7","Gαs/olf",0.980597984157931,"4.8"
"5-HT7","Gαz",0.969876445305518,"4.8"
"5-HT7","tGPA1",0.95891057810227,"4.8"
"5-HT1A","GPA1",1.15175068494249,"7.2"
"5-HT1A","Gαs/olf",1.11216325221429,"7.2"
"5-HT1A","Gα12",1.08058838203105,"7.2"
"5-HT1A","Gα13",1.02816491166029,"7.2"
"5-HT1A","Gαi1/2",1.07741258053063,"7.2"
"5-HT1A","Gαi3",1.09244822177454,"7.2"
"5-HT1A","Gαz",1.4989711521946,"7.2"
"5-HT1A","Gα15/16",1.14304853818574,"7.2"
"5-HT1A","Gαq/11",1.03047609294144,"7.2"
"5-HT1A","Gα14",1.11928040433079,"7.2"
"5-HT1A","Gαo",1.16209005772578,"7.2"
"5-HT1A","tGPA1",1.15830894931906,"7.2"
"5-HT1B","GPA1",0.862145785668429,"7.2"
"5-HT1B","Gαs/olf",1.09776948327688,"7.2"
"5-HT1B","Gα12",1.02180096217784,"7.2"
"5-HT1B","Gα13",1.09002309015951,"7.2"
"5-HT1B","Gαi1/2",1.29785415749781,"7.2"
"5-HT1B","Gαi3",1.47701777795421,"7.2"
"5-HT1B","Gαz",1.13130416056721,"7.2"
"5-HT1B","Gα15/16",0.920615633118659,"7.2"
"5-HT1B","Gαq/11",1.01517023399563,"7.2"
"5-HT1B","Gα14",0.960347457666448,"7.2"
"5-HT1B","Gαo",0.957273401543916,"7.2"
"5-HT1B","tGPA1",0.871348747250071,"7.2"
"5-HT1D","GPA1",0.934717580602995,"7.2"
"5-HT1D","Gαs/olf",0.969315321680522,"7.2"
"5-HT1D","Gα12",0.96806951249171,"7.2"
"5-HT1D","Gα13",0.989545769863449,"7.2"
"5-HT1D","Gαi1/2",0.930236548468438,"7.2"
"5-HT1D","Gαi3",0.927512993570893,"7.2"
"5-HT1D","Gαz",1.04026494917176,"7.2"
"5-HT1D","Gα15/16",0.925572189821474,"7.2"
"5-HT1D","Gαq/11",1.0269034041407,"7.2"
"5-HT1D","Gα14",1.16096583115183,"7.2"
"5-HT1D","Gαo",1.04152557091519,"7.2"
"5-HT1D","tGPA1",1.02349878444861,"7.2"
"5-HT1E","GPA1",0.982083772683199,"7.2"
"5-HT1E","Gαs/olf",1.03051558926108,"7.2"
"5-HT1E","Gα12",0.876538501677763,"7.2"
"5-HT1E","Gα13",1.00234918756511,"7.2"
"5-HT1E","Gαi1/2",1.26368499504591,"7.2"
"5-HT1E","Gαi3",1.16338027576039,"7.2"
"5-HT1E","Gαz",1.68201394625155,"7.2"
"5-HT1E","Gα15/16",0.899156671557788,"7.2"
"5-HT1E","Gαq/11",0.912638727408082,"7.2"
"5-HT1E","Gα14",0.93853001040455,"7.2"
"5-HT1E","Gαo",0.990063685641019,"7.2"
"5-HT1E","tGPA1",0.992122716215532,"7.2"
"5-HT1F","GPA1",0.924523155188246,"7.2"
"5-HT1F","Gαs/olf",1.02077957952801,"7.2"
"5-HT1F","Gα12",1.03643393980539,"7.2"
"5-HT1F","Gα13",0.924204281630135,"7.2"
"5-HT1F","Gαi1/2",1.05120313021749,"7.2"
"5-HT1F","Gαi3",0.902577511660756,"7.2"
"5-HT1F","Gαz",0.919041662412798,"7.2"
"5-HT1F","Gα15/16",0.942664339931763,"7.2"
"5-HT1F","Gαq/11",0.967940393739872,"7.2"
"5-HT1F","Gα14",0.965951314387208,"7.2"
"5-HT1F","Gαo",1.05147247975963,"7.2"
"5-HT1F","tGPA1",0.916403592691188,"7.2"
"5-HT2A","GPA1",0.981167795441432,"7.2"
"5-HT2A","Gαs/olf",1.03407509159038,"7.2"
"5-HT2A","Gα12",0.911219856511134,"7.2"
"5-HT2A","Gα13",0.859320599387217,"7.2"
"5-HT2A","Gαi1/2",0.939426417680382,"7.2"
"5-HT2A","Gαi3",0.985457266759957,"7.2"
"5-HT2A","Gαz",1.15630548372633,"7.2"
"5-HT2A","Gα15/16",1.12567307957385,"7.2"
"5-HT2A","Gαq/11",1.16993618538366,"7.2"
"5-HT2A","Gα14",1.15535365684093,"7.2"
"5-HT2A","Gαo",1.37365854592801,"7.2"
"5-HT2A","tGPA1",1.09150898348264,"7.2"
"5-HT2B","GPA1",0.985656520042036,"7.2"
"5-HT2B","Gαs/olf",1.0617310642931,"7.2"
"5-HT2B","Gα12",1.08357026427837,"7.2"
"5-HT2B","Gα13",0.979816077091976,"7.2"
"5-HT2B","Gαi1/2",0.988070134624075,"7.2"
"5-HT2B","Gαi3",1.00063059617232,"7.2"
